EntryID,Supplier Key,Supply Chain,Top 100,BMW Potential,CSCS,IPO SEA Contacted,CompStatus,Supplier Name,BMW Supplier Nr,Main Product Group,Sub Product Group,Product Portfolio,Industry,Core Process,Main Material,Tech Capability Level,Product Complexity,Ownership Structure,Nationality,Street No RA,RegAddressIE,City RA,Province RA,Country RA,Zip Code RA,Parent Company,SEACompany
91,VN190408972,,,Y,Y,Y,Active,Gulf Rubber VN,232181-10,MF,6,"Centering Bush, Propshaft Coupling",Rubber,Rubberforming / Extrusion,Rubber,H,A,C,New Zealand,,,,Ho Chi Minh City,VNM,,,
92,TH190408991,,,Y,Y,Y,Active,"Hanon Systems (Thailand) Co., Ltd.",,MA,19,"Climate Control, Pipe And House Assembly, Powertrain Cooling Radiator",,,,L,C,C,Korean,"64/4 Moo 4, Tambol Pluakdaeng, Amphur Pluakdaeng",Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,,
26,TH1904081406,,Y,,Y,Y,Active,HAPM Magna Seating (Thailand) Co Ltd,232912-10,MI,33,Seat Assembly,,Assembly,,H,A,C,Canadian,888/1-2 Moo 8 Khaokhansong,WHA Eastern Seaboard Industrial Estate 2,Sriracha,Chonburi,THA,20110,Magna,
93,TH190408997,,,,Y,Y,Active,"Hayakawa Electronics (Thailand) Co., Ltd.",,MD,11,Sub KBB wire harness for Steering/Seat Belt/Speaker etc.,Electronics,Assembly - Electronic Assy,,,,C,Japan,"8/3 Moo 2, Bangna-Trad Km.41",,Bangpakong,Chachoengsao ,THA,24180,,
94,VN190408999,,,,,Y,Active,"Hayakawa Electronics Vietnam Co., Ltd..",,MD,41,"KBB wire harness , Entertainment (Audio Parts), Telem",Electronics,Assembly - Mechanical,,L,C,C,Japan,Lot No.A3,Dai Dong Hoan Son Industrial Park,Tien Du,Bac Ninh Province,VNM,,,
95,MY1904081010,,,,,Y,Active,Hicom Diecastings Sdn Bhd,,MA,12,"Connecting Rods & Pistons, Aluminum Castings",Aluminum,Precision Machining,Aluminum,L,C,C,Malaysian,,,,,MYS,,,DRB-Hicom
96,MY1904081013,,,Y,Y,Y,Active,Hicom Teck See Manufacturing Malaysia Sdn Bhd,233361-10,MK,4,"Plastic Decorative, Chrome Parts, Injection Moulding, Modular Assy",Plastic,Plastic Injection,Plastic,L,C,C,Malaysian,"Lot 76 & 75A, Jalan Sementa 27/91",Kawasan Perindustrian Hicom,Shah Alam,Selangor,MYS,40000,,DRB-Hicom
97,MY1904081017,,,,,Y,Active,Hil Industries Bhd,,MK,4,Plastic Body Panel,Plastic,Plastic Injection,Plastic,L,C,C,Malaysian,"Lot3, Jalan Lada Sulah 16/11, Section 16",,Shah Alam,Selangor,MYS,40000,,
98,TH1904081022,,,,,Y,Active,"Hi-Q Plas Co., Ltd.",,ZZ,23,"Mold Make To Order, Plastic Injection Molding",Plastic,Plastic Injection,Plastic,L,O,C,,"1501, 1351 Moo 13, bigland, Klongnueng",,Khlongluang,Pathumthani,THA,12120,,
99,TH1904081028,,,Y,Y,Y,Active,"Hirotec Manufacturing (Thailand) Co., Ltd.",232076-10,MA,14,"Exhaust Parts Powertrain, stamping parts",Metal,Sheet Metalforming,Steel,H,A,C,Japan,64/102 Moo 4 Tambol Pluakdaeng,Eastern Seaboard Industrial Estate,Pluakdaeng,Rayong,THA,21140,,
100,TH1904081042,,,,Y,Y,Active,Hitachi Metals (Thailand) Ltd.,307116 - 10,MA,12,"Turbo Charger Parts, Egr Valve, Magnet Machining Assembly, Coil Convertor, Sensor For Camera",Electronics,Precision Machining,Semiconductors,H,C,C,Japan,1/60 Moo 5,Rojana Industrial Park,Uthai,Ayuthaya,THA,13210,,
